cohort	n	n_events	c_mvl_obs	c_mvl_null_med	c_mvl_null_lo	c_mvl_null_hi	p_mvl	c_xgb_obs	c_xgb_null_med	c_xgb_null_lo	c_xgb_null_hi	p_xgb
LGG_OS_df374	545	142	0.911297824456114	0.498576800401624	0.443033080813674	0.558474515874595	0	0.999429857464366	0.498575508940291	0.441061698554284	0.557829147431426	0
LGG_PFI_df374	545	227	0.837464788732394	0.500766960658365	0.459547370483446	0.540399463335501	0	0.996776212832551	0.498573551301998	0.456129174237212	0.543751071967453	0
LIHC_DFI_df160	437	211	0.783054718727233	0.498694782534557	0.458313796599787	0.541374468838547	0	0.996357335538622	0.50006943561679	0.455507945338518	0.5432979184062	0
LIHC_DSS_df160	507	132	0.854707688371498	0.500532654840411	0.444421536833543	0.560265767485079	0	0.999936036842779	0.499595522902067	0.444145694561	0.55641034433544	0
LIHC_OS_df160	524	230	0.801994039389191	0.500041032078596	0.458181983706779	0.542906409786979	0	0.999293329646358	0.49984872208051	0.456718039718331	0.541587922796823	0
LIHC_PFI_df160	524	269	0.785329636639919	0.4998624310272	0.455205149266336	0.540744341142023	0	0.996067820106102	0.50043836758663	0.459120611835142	0.538293489526522	0
LUAD_DFI_df017	303	92	0.873746904116051	0.499577645594408	0.432015369624664	0.566715851526023	0	0.994899162637103	0.498728468195722	0.42833992406885	0.57007362167461	0
LUAD_DSS_df017	475	112	0.831491808389041	0.500043359985471	0.436996854449995	0.559009616528925	0	0.997991063697136	0.499785798365934	0.43591501171138	0.559361609203319	0
LUAD_OS_df017	510	183	0.841581200836403	0.499055623813751	0.448182759978853	0.545834468249287	0	0.996793786717116	0.498620671376853	0.450195638028694	0.548342712170946	0
LUAD_PFI_df017	510	212	0.761953769500939	0.497734817031251	0.455738977434402	0.548968745379302	0	0.994380462304991	0.499987219837517	0.453247440280197	0.542978078134829	0
LUSC_DFI_df147	373	84	0.5	0.5	0.5	0.5	1	0.999783772095789	0.502294415907107	0.426971704322057	0.573482003898035	0
LUSC_DSS_df147	560	119	0.856093305170355	0.499471295417522	0.435402021235367	0.561671347198873	0	0.999877552269875	0.499143678165859	0.436816822628276	0.554533841297351	0
LUSC_OS_df147	642	304	0.75825002894747	0.499127325860113	0.463995161325826	0.533620148662153	0	0.998417538307152	0.498590621803551	0.461297415558245	0.537260018991083	0
LUSC_PFI_df147	643	192	0.779692166322077	0.500219684192669	0.45311655508953	0.54592464940737	0	0.999065778390382	0.501686239839851	0.453633052509742	0.544652431475659	0
MESO_DSS_df017	62	42	0.731182795698925	0.5022104608938	0.39204966020716	0.604388767127064	0	0.988530465949821	0.498027948388237	0.394813661035089	0.595120694853926	0
