cohort	model	param	value
COAD_PFI_df368	XGBoost	eta	0.05
COAD_PFI_df368	XGBoost	max_depth	4
COAD_PFI_df368	XGBoost	min_child_weight	3
COAD_PFI_df368	XGBoost	subsample	0.8
COAD_PFI_df368	XGBoost	nthread	1
COAD_PFI_df368	XGBoost	validate_parameters	TRUE
COAD_PFI_df368	XGBoost	nrounds	500
COAD_PFI_df368	RSF	ntree	1000
COAD_PFI_df368	RSF	mtry	24
COAD_PFI_df368	RSF	nodesize	15
COAD_PFI_df368	MTLR	nintervals	default
COAD_PFI_df368	MTLR	regularization	C1=1
COAD_PFI_df368	MVL	weight_RSF	0.25
COAD_PFI_df368	MVL	weight_XGBoost	0.25
COAD_PFI_df368	MVL	weight_MTLR	0.25
COAD_PFI_df368	MVL	weight_Boruta	0.25
ESCA_DFI_df017	XGBoost	objective	survival:cox
ESCA_DFI_df017	XGBoost	eval_metric	cox-nloglik
ESCA_DFI_df017	XGBoost	eta	0.05
ESCA_DFI_df017	XGBoost	max_depth	4
ESCA_DFI_df017	XGBoost	min_child_weight	3
ESCA_DFI_df017	XGBoost	subsample	0.8
ESCA_DFI_df017	XGBoost	nthread	1
ESCA_DFI_df017	XGBoost	validate_parameters	TRUE
ESCA_DFI_df017	XGBoost	nrounds	500
ESCA_DFI_df017	RSF	ntree	1000
ESCA_DFI_df017	RSF	mtry	10
ESCA_DFI_df017	RSF	nodesize	15
ESCA_DFI_df017	MTLR	nintervals	default
ESCA_DFI_df017	MTLR	regularization	C1=0.1
ESCA_DFI_df017	MVL	weight_XGBoost	15.138903
ESCA_DFI_df017	MVL	weight_MTLR	1.741667
ESCA_DFI_df017	MVL	weight_Boruta	-0.474871
ESCA_DFI_df017	MVL	weight_RSF	-0.37649
ESCA_DSS_df017	XGBoost	objective	survival:cox
ESCA_DSS_df017	XGBoost	eval_metric	cox-nloglik
ESCA_DSS_df017	XGBoost	eta	0.05
ESCA_DSS_df017	XGBoost	max_depth	4
ESCA_DSS_df017	XGBoost	min_child_weight	3
